episode,timestamp,circuit,mode,success,wall_crash,timeout,checkpoints_passed,lap_time_s,episode_reward
10,2026-07-08 18:56:57,default,train,0,0,1,0,,-5.0228
10,2026-07-08 18:56:57,default,train,0,0,1,0,,-5.0029
10,2026-07-08 18:56:57,default,train,0,0,1,0,,-5.0029
10,2026-07-08 18:56:57,default,train,0,0,1,0,,-5.0161
10,2026-07-08 18:56:57,default,train,0,0,1,0,,-5.0162
10,2026-07-08 18:56:57,default,train,0,0,1,0,,-5.0029
10,2026-07-08 18:56:57,default,train,0,0,1,0,,-5.0228
10,2026-07-08 18:56:57,default,train,0,0,1,0,,-5.0132
11,2026-07-08 18:59:35,default,test,0,0,1,0,,-5.0154
11,2026-07-08 19:13:28,default,train,0,0,1,0,,-5.0228
11,2026-07-08 19:13:28,default,train,0,0,1,0,,-5.0180
11,2026-07-08 19:13:28,default,train,0,0,1,0,,-5.0177
11,2026-07-08 19:13:28,default,train,0,0,1,0,,-5.0133
11,2026-07-08 19:13:28,default,train,0,0,1,0,,-5.0234
11,2026-07-08 19:13:28,default,train,0,0,1,0,,-5.0179
11,2026-07-08 19:13:28,default,train,0,0,1,0,,-5.0273
11,2026-07-08 19:13:28,default,train,0,0,1,0,,-5.0180
11,2026-07-08 19:13:28,default,train,0,0,1,0,,-5.0131
12,2026-07-08 19:13:53,default,test,0,0,1,0,,-5.0154
12,2026-07-08 19:22:16,default,train,0,0,1,0,,-5.0271
12,2026-07-08 19:22:16,default,train,0,0,1,0,,-5.0172
12,2026-07-08 19:22:16,default,train,0,0,1,0,,-5.0162
12,2026-07-08 19:22:16,default,train,0,0,1,0,,-5.0173
12,2026-07-08 19:22:16,default,train,0,0,1,0,,-5.0131
12,2026-07-08 19:22:16,default,train,0,0,1,0,,-5.0161
12,2026-07-08 19:22:16,default,train,0,0,1,0,,-5.0224
12,2026-07-08 19:22:16,default,train,0,0,1,0,,-5.0132
12,2026-07-08 19:22:16,default,train,0,0,1,0,,-5.0269
13,2026-07-08 19:22:41,default,test,0,0,1,0,,-5.0154
13,2026-07-08 19:48:50,default,train,0,0,1,0,,-5.0231
13,2026-07-08 19:48:50,default,train,0,0,1,0,,-5.0272
13,2026-07-08 19:48:50,default,train,0,0,1,0,,-5.0172
13,2026-07-08 19:48:50,default,train,0,0,1,0,,-5.0029
13,2026-07-08 19:48:50,default,train,0,0,1,0,,-5.0269
13,2026-07-08 19:48:50,default,train,0,0,1,0,,-5.0029
13,2026-07-08 19:48:50,default,train,0,0,1,0,,-5.0270
13,2026-07-08 19:48:50,default,train,0,0,1,0,,-5.0173
13,2026-07-08 19:48:50,default,train,0,0,1,0,,-5.0272
14,2026-07-08 20:01:20,default,test,0,0,1,0,,-5.0154
14,2026-07-08 20:12:46,default,train,0,0,1,0,,-5.0029
14,2026-07-08 20:12:46,default,train,0,0,1,0,,-5.0227
14,2026-07-08 20:12:46,default,train,0,0,1,0,,-5.0228
14,2026-07-08 20:12:46,default,train,0,0,1,0,,-5.0223
14,2026-07-08 20:12:46,default,train,0,0,1,0,,-5.0226
14,2026-07-08 20:12:46,default,train,0,0,1,0,,-5.0273
14,2026-07-08 20:12:46,default,train,0,0,1,0,,-5.0223
14,2026-07-08 20:12:46,default,train,0,0,1,0,,-5.0161
14,2026-07-08 20:12:46,default,train,0,0,1,0,,-5.0161
15,2026-07-08 20:13:10,default,test,0,0,1,0,,-5.0154
15,2026-07-08 20:21:53,default,train,0,0,1,0,,-5.0029
15,2026-07-08 20:21:53,default,train,0,0,1,0,,-5.0133
15,2026-07-08 20:21:53,default,train,0,0,1,0,,-5.0232
15,2026-07-08 20:21:53,default,train,0,0,1,0,,-5.0173
15,2026-07-08 20:21:53,default,train,0,0,1,0,,-5.0224
15,2026-07-08 20:21:53,default,train,0,0,1,0,,-5.0029
15,2026-07-08 20:21:53,default,train,0,0,1,0,,-5.0270
15,2026-07-08 20:21:53,default,train,0,0,1,0,,-5.0272
15,2026-07-08 20:21:53,default,train,0,0,1,0,,-5.0162
16,2026-07-08 20:22:18,default,test,0,0,1,0,,-5.0154
16,2026-07-08 21:06:56,default,train,0,0,1,0,,-5.0271
16,2026-07-08 21:06:56,default,train,0,0,1,0,,-5.0227
16,2026-07-08 21:06:56,default,train,0,0,1,0,,-5.0272
16,2026-07-08 21:06:56,default,train,0,0,1,0,,-5.0269
16,2026-07-08 21:06:56,default,train,0,0,1,0,,-5.0131
16,2026-07-08 21:06:56,default,train,0,0,1,0,,-5.0273
16,2026-07-08 21:06:56,default,train,0,0,1,0,,-5.0161
16,2026-07-08 21:06:56,default,train,0,0,1,0,,-5.0029
16,2026-07-08 21:06:56,default,train,0,0,1,0,,-5.0131
17,2026-07-08 21:35:30,default,test,0,0,1,0,,-5.0154
17,2026-07-08 21:48:21,default,train,0,0,1,0,,-5.0183
17,2026-07-08 21:48:21,default,train,0,0,1,0,,-5.0056
17,2026-07-08 21:48:21,default,train,0,0,1,0,,-5.0237
17,2026-07-08 21:48:21,default,train,0,0,1,0,,-5.0056
17,2026-07-08 21:48:21,default,train,0,0,1,0,,-5.0157
17,2026-07-08 21:48:21,default,train,0,0,1,0,,-5.0197
17,2026-07-08 21:48:21,default,train,0,0,1,0,,-5.0197
17,2026-07-08 21:48:21,default,train,0,0,1,0,,-5.0251
17,2026-07-08 21:48:21,default,train,0,0,1,0,,-5.0197
18,2026-07-08 21:54:09,default,test,0,0,1,0,,-5.0154
18,2026-07-08 21:58:24,default,train,0,0,1,0,,-5.0160
18,2026-07-08 21:58:24,default,train,0,0,1,0,,-5.0131
18,2026-07-08 21:58:24,default,train,0,0,1,0,,-5.0130
18,2026-07-08 21:58:24,default,train,0,0,1,0,,-5.0159
18,2026-07-08 21:58:24,default,train,0,0,1,0,,-5.0130
18,2026-07-08 21:58:24,default,train,0,0,1,0,,-5.0268
18,2026-07-08 21:58:24,default,train,0,0,1,0,,-5.0027
18,2026-07-08 21:58:24,default,train,0,0,1,0,,-5.0129
18,2026-07-08 21:58:24,default,train,0,0,1,0,,-5.0160
19,2026-07-08 22:29:37,default,test,0,0,1,0,,-5.0154
19,2026-07-08 23:20:01,default,train,0,0,1,0,,-5.0273
